Plant,Month,Day,Year,Treatment,Plot,Quadrat,D_Height,D_X,D_Y
1,7,18,2019,1,2,7,0,0,0
2,7,18,2019,1,2,7,5,23,38
3,7,19,2019,1,2,7,4.6,11.4,11.8
4,7,19,2019,1,2,7,0,0,0
5,7,19,2019,1,2,7,1.5,12,13.7
6,7,19,2019,1,2,7,1.6,7.2,8.3
7,7,19,2019,1,2,7,8,25.8,26
8,7,19,2019,1,2,7,1.3,7,9.7
9,7,19,2019,1,2,7,6,18,19
10,7,19,2019,1,2,5,2,9,10.5
11,7,19,2019,1,2,5,6.5,28,29
12,7,19,2019,1,2,5,1.6,11,12
13,7,19,2019,1,2,5,6,17,19.2
14,7,19,2019,1,2,5,4,7.5,8.5
15,7,19,2019,1,2,5,4.5,15.2,17
16,7,19,2019,1,2,5,3,17.8,18
17,7,19,2019,1,2,5,4,23,28.2
18,7,25,2019,1,2,3,6.8,20.2,30
19,7,25,2019,1,2,3,4.5,55,56
20,7,25,2019,1,2,3,3.4,7,12
21,7,25,2019,1,2,3,5.8,21,24.5
22,7,25,2019,1,2,3,5,10,13
23,7,29,2019,1,3,8,4,16,20.5
24,7,29,2019,1,3,8,1.5,2.7,3.3
25,7,29,2019,1,3,8,1,6,7.5
26,7,29,2019,1,3,8,5,12,27
27,7,29,2019,1,3,8,2,4.5,6.5
28,7,29,2019,1,3,8,8,7.5,8
29,7,29,2019,1,3,8,2,8,9.6
30,7,29,2019,1,3,8,1.8,5,7.3
31,7,29,2019,1,3,8,4,10.4,12.4
32,7,29,2019,1,3,8,3.2,10,12
33,7,29,2019,1,3,8,5.9,26,32
34,7,29,2019,1,3,8,7,27.3,35
35,7,29,2019,1,3,8,3.5,12.5,15.5
36,7,29,2019,1,3,1,5.4,13,31
37,7,29,2019,1,3,1,7.6,45,61
38,7,29,2019,1,3,1,5.2,39,44
39,7,29,2019,1,3,1,3.9,7,9
40,7,29,2019,1,3,1,2.5,4.2,4.2
41,7,29,2019,1,3,1,5,8,8
42,7,29,2019,1,4,2,4,6.5,8
43,7,29,2019,1,4,2,9,43,58
44,7,29,2019,1,4,2,8.2,16.5,44
45,7,29,2019,1,4,2,9.6,17,18.3
46,7,29,2019,1,4,2,7.7,20,20
47,7,29,2019,1,4,6,7,30,52
48,7,29,2019,1,4,6,7.8,37,39.5
49,7,29,2019,1,4,6,2.9,8,8.5
50,7,29,2019,1,4,6,5.5,16,41
51,7,29,2019,1,4,6,3.4,8.5,10
52,7,29,2019,1,4,6,2.7,6,8
53,7,29,2019,1,4,6,2.5,6.6,9
54,7,31,2019,1,19,5,4.8,16.5,25.6
55,7,31,2019,1,19,5,4.9,21,61
56,7,31,2019,1,19,5,3.5,25.6,39.2
57,7,31,2019,1,19,5,6,15.7,18
58,7,31,2019,1,19,5,1.6,3.2,3.5
59,7,31,2019,1,19,5,4.9,29,32.5
60,7,31,2019,1,19,5,6,12,15.5
61,7,31,2019,1,19,5,4.1,15,15.5
62,7,31,2019,1,19,5,1.8,11.6,14
63,7,31,2019,1,19,5,1.2,3.5,3.9
64,7,31,2019,1,19,5,2.5,7.4,12
65,7,31,2019,1,19,2,2.5,12,13.4
66,7,31,2019,1,19,2,4.2,28.3,39
67,7,31,2019,1,19,2,3,8.3,9
68,7,31,2019,1,19,2,2.8,10,17
