Plant,Month,Day,Year,Treatment,Plot,Quadrat,G_Height,G_X,G_Y
1,7,18,2019,1,2,7,6.8,3.7,4
2,7,18,2019,1,2,7,8,16.5,28.4
3,7,19,2019,1,2,7,1.4,7.7,8
4,7,19,2019,1,2,7,3,3,5.1
5,7,19,2019,1,2,7,16,5,7
6,7,19,2019,1,2,7,2.5,3.5,5.2
7,7,19,2019,1,2,7,8,12,13.2
8,7,19,2019,1,2,7,3.5,3.5,5.9
9,7,19,2019,1,2,7,10,11.2,11.5
10,7,19,2019,1,2,5,8.5,7.5,8.5
11,7,19,2019,1,2,5,24.6,20,27
12,7,19,2019,1,2,5,9,8.3,9.1
13,7,19,2019,1,2,5,10.5,12.6,14.5
14,7,19,2019,1,2,5,5,7,7.6
15,7,19,2019,1,2,5,5.7,8,8.5
16,7,19,2019,1,2,5,17,10,12.5
17,7,19,2019,1,2,5,16,16,22
18,7,25,2019,1,2,3,4,13.3,21
19,7,25,2019,1,2,3,9,38.4,46.5
20,7,25,2019,1,2,3,2,7.3,7.4
21,7,25,2019,1,2,3,10,19,22.5
22,7,25,2019,1,2,3,11,5,7
23,7,29,2019,1,3,8,8.5,8.2,13.4
24,7,29,2019,1,3,8,3,2,2.2
25,7,29,2019,1,3,8,8,5,5.8
26,7,29,2019,1,3,8,13,8,22.4
27,7,29,2019,1,3,8,7,3,4.8
28,7,29,2019,1,3,8,9.5,5.8,7
29,7,29,2019,1,3,8,7.5,4,7
30,7,29,2019,1,3,8,3,3.2,4
31,7,29,2019,1,3,8,12,9.5,10
32,7,29,2019,1,3,8,11,5,7.8
33,7,29,2019,1,3,8,15.3,24,29.5
34,7,29,2019,1,3,8,16,26.2,33
35,7,29,2019,1,3,8,5,10,12.2
36,7,29,2019,1,3,1,15.5,6,27.5
37,7,29,2019,1,3,1,19,38.2,55.6
38,7,29,2019,1,3,1,15.3,35.5,40
39,7,29,2019,1,3,1,12,5.1,7.2
40,7,29,2019,1,3,1,5,2.8,3
41,7,29,2019,1,3,1,10,6.3,6.3
42,7,29,2019,1,4,2,2,3.4,3.6
43,7,29,2019,1,4,2,12,32,44
44,7,29,2019,1,4,2,12.7,12,39
45,7,29,2019,1,4,2,19,14.5,15
46,7,29,2019,1,4,2,9,8.5,16
47,7,29,2019,1,4,6,14.5,24,37
48,7,29,2019,1,4,6,9,22,34.5
49,7,29,2019,1,4,6,9,4.3,5
50,7,29,2019,1,4,6,16.6,10,31.3
51,7,29,2019,1,4,6,5,6.5,7
52,7,29,2019,1,4,6,5.4,4,6
53,7,29,2019,1,4,6,1.5,4,7.1
54,7,31,2019,1,19,5,4.4,9.2,23
55,7,31,2019,1,19,5,9.9,17.7,52.4
56,7,31,2019,1,19,5,14.7,8,34.6
57,7,31,2019,1,19,5,8,9.1,9.5
58,7,31,2019,1,19,5,1.5,1.4,1.8
59,7,31,2019,1,19,5,11.8,21,23
60,7,31,2019,1,19,5,8,7.8,10.1
61,7,31,2019,1,19,5,10.2,10.5,11
62,7,31,2019,1,19,5,5,10.5,12
63,7,31,2019,1,19,5,5.5,2,2.6
64,7,31,2019,1,19,5,5.4,5.5,8.1
65,7,31,2019,1,19,2,5,9,12.3
66,7,31,2019,1,19,2,15,24.8,33
67,7,31,2019,1,19,2,3.3,5,5.5
68,7,31,2019,1,19,2,10,7.1,10.5
69,7,31,2019,1,19,2,5,16,22
70,7,31,2019,1,19,2,6.5,7,10
71,7,31,2019,1,19,2,8.5,9,16.4
72,8,5,2019,1,20,2,11,20,24
73,8,5,2019,1,20,2,10,22.6,34
74,8,5,2019,1,20,2,11.8,17,89
75,8,5,2019,1,20,2,6,5.1,12
76,8,5,2019,1,20,2,3,2.2,3.1
77,8,5,2019,1,20,2,5,3.5,3.8
78,8,5,2019,1,20,6,11.2,20,24.5
79,8,5,2019,1,20,6,5.5,4.9,7
80,8,5,2019,1,20,6,9,3.9,6.8
81,8,5,2019,1,20,6,15,13.2,24.8
82,8,5,2019,1,20,6,4,6.4,6.7
83,8,5,2019,1,20,6,22.5,21.2,28.8
84,8,5,2019,1,20,6,3,2.8,7.4
85,8,5,2019,1,20,6,5.4,5,6
86,8,5,2019,1,20,6,4,3.3,3.3
87,8,5,2019,1,20,6,10,10,11
88,8,5,2019,1,20,6,16,6,8
89,8,5,2019,1,20,6,6,4,8.1
90,8,5,2019,1,22,1,18,85.7,64.7
91,8,5,2019,1,22,1,8,17.4,21
92,8,5,2019,1,22,1,5,7.5,11
93,8,5,2019,1,22,1,2,10.5,14.8
94,8,5,2019,1,22,1,6,8.7,9
95,8,5,2019,1,22,1,16,11.8,18.6
96,8,5,2019,1,22,3,12,35.5,41.2
97,8,5,2019,1,22,3,13.6,10.2,15.8
98,8,5,2019,1,22,3,10,50.8,54
99,8,5,2019,1,22,3,9,11.1,12
100,8,5,2019,1,26,2,3.4,7,9.3
101,8,5,2019,1,26,2,7.6,13.5,16
102,8,5,2019,1,26,2,5,10.3,10.4
103,8,5,2019,1,26,2,8,10.6,12
104,8,5,2019,1,26,2,7.2,21,24
105,8,5,2019,1,26,2,3,2,3
106,8,5,2019,1,26,2,13.5,31,32
107,8,5,2019,1,26,2,3.5,5.5,7.1
108,8,5,2019,1,26,2,4.2,18,27.3
109,8,5,2019,1,26,2,12,4.5,10.6
110,8,5,2019,1,26,4,6.2,5.4,5.6
111,8,5,2019,1,26,4,2,5.8,6.5
112,8,5,2019,1,26,4,14,9,12.4
113,8,6,2019,1,26,4,11,32,32.9
114,8,6,2019,1,26,4,5,10.5,14.4
115,8,6,2019,1,26,4,2.5,3.3,4.5
116,8,6,2019,1,26,4,10,33.5,36
117,8,6,2019,1,26,4,9,4.3,4.3
118,8,6,2019,1,23,5,9,8.7,9.2
119,8,6,2019,1,23,5,3.5,8,9
120,8,6,2019,1,23,5,6.6,25,29
121,8,6,2019,1,23,5,9,4.1,12.2
122,8,6,2019,1,23,7,5.8,4,9.6
123,8,6,2019,1,23,7,2.5,5,9
124,8,6,2019,1,23,7,2.2,6.4,10.2
125,8,6,2019,1,23,7,4,5,12.5
126,8,6,2019,1,23,7,9.5,8,11
127,8,6,2019,1,23,7,2,4,4
128,8,6,2019,1,23,7,2,4.2,5.1
129,8,6,2019,1,23,7,1,4.3,5.5
130,8,6,2019,1,23,7,4,7.8,10.5
