Month,Day,Year,Treatment,Plot,Quadrat,D_Height,D_X,D_Y,G_Height,G_X,G_Y
7,18,2019,1,2,7,0,0,0,6.8,3.7,4
7,18,2019,1,2,7,5,23,38,8,16.5,28.4
7,19,2019,1,2,7,4.6,11.4,11.8,1.4,7.7,8
7,19,2019,1,2,7,0,0,0,3,3,5.1
7,19,2019,1,2,7,1.5,12,13.7,16,5,7
7,19,2019,1,2,7,1.6,7.2,8.3,2.5,3.5,5.2
7,19,2019,1,2,7,8,25.8,26,8,12,13.2
7,19,2019,1,2,7,1.3,7,9.7,3.5,3.5,5.9
7,19,2019,1,2,7,6,18,19,10,11.2,11.5
7,19,2019,1,2,5,2,9,10.5,8.5,7.5,8.5
7,19,2019,1,2,5,6.5,28,29,24.6,20,27
7,19,2019,1,2,5,1.6,11,12,9,8.3,9.1
7,19,2019,1,2,5,6,17,19.2,10.5,12.6,14.5
7,19,2019,1,2,5,4,7.5,8.5,5,7,7.6
7,19,2019,1,2,5,4.5,15.2,17,5.7,8,8.5
7,19,2019,1,2,5,3,17.8,18,17,10,12.5
7,19,2019,1,2,5,4,23,28.2,16,16,22
7,25,2019,1,2,3,6.8,20.2,30,4,13.3,21
7,25,2019,1,2,3,4.5,55,56,9,38.4,46.5
7,25,2019,1,2,3,3.4,7,12,2,7.3,7.4
7,25,2019,1,2,3,5.8,21,24.5,10,19,22.5
7,25,2019,1,2,3,5,10,13,11,5,7
7,29,2019,1,3,8,4,16,20.5,8.5,8.2,13.4
7,29,2019,1,3,8,1.5,2.7,3.3,3,2,2.2
7,29,2019,1,3,8,1,6,7.5,8,5,5.8
7,29,2019,1,3,8,5,12,27,13,8,22.4
7,29,2019,1,3,8,2,4.5,6.5,7,3,4.8
7,29,2019,1,3,8,8,7.5,8,9.5,5.8,7
7,29,2019,1,3,8,2,8,9.6,7.5,4,7
7,29,2019,1,3,8,1.8,5,7.3,3,3.2,4
7,29,2019,1,3,8,4,10.4,12.4,12,9.5,10
7,29,2019,1,3,8,3.2,10,12,11,5,7.8
7,29,2019,1,3,8,5.9,26,32,15.3,24,29.5
7,29,2019,1,3,8,7,27.3,35,16,26.2,33
7,29,2019,1,3,8,3.5,12.5,15.5,5,10,12.2
7,29,2019,1,3,1,5.4,13,31,15.5,6,27.5
7,29,2019,1,3,1,7.6,45,61,19,38.2,55.6
7,29,2019,1,3,1,5.2,39,44,15.3,35.5,40
7,29,2019,1,3,1,3.9,7,9,12,5.1,7.2
7,29,2019,1,3,1,2.5,4.2,4.2,5,2.8,3
7,29,2019,1,3,1,5,8,8,10,6.3,6.3
7,29,2019,1,4,2,4,6.5,8,2,3.4,3.6
7,29,2019,1,4,2,9,43,58,12,32,44
7,29,2019,1,4,2,8.2,16.5,44,12.7,12,39
7,29,2019,1,4,2,9.6,17,18.3,19,14.5,15
7,29,2019,1,4,2,7.7,20,20,9,8.5,16
7,29,2019,1,4,6,7,30,52,14.5,24,37
7,29,2019,1,4,6,7.8,37,39.5,9,22,34.5
7,29,2019,1,4,6,2.9,8,8.5,9,4.3,5
7,29,2019,1,4,6,5.5,16,41,16.6,10,31.3
7,29,2019,1,4,6,3.4,8.5,10,5,6.5,7
7,29,2019,1,4,6,2.7,6,8,5.4,4,6
7,29,2019,1,4,6,2.5,6.6,9,1.5,4,7.1
7,31,2019,1,19,5,4.8,16.5,25.6,4.4,9.2,23
7,31,2019,1,19,5,4.9,21,61,9.9,17.7,52.4
7,31,2019,1,19,5,3.5,25.6,39.2,14.7,8,34.6
7,31,2019,1,19,5,6,15.7,18,8,9.1,9.5
7,31,2019,1,19,5,1.6,3.2,3.5,1.5,1.4,1.8
7,31,2019,1,19,5,4.9,29,32.5,11.8,21,23
7,31,2019,1,19,5,6,12,15.5,8,7.8,10.1
7,31,2019,1,19,5,4.1,15,15.5,10.2,10.5,11
7,31,2019,1,19,5,1.8,11.6,14,5,10.5,12
7,31,2019,1,19,5,1.2,3.5,3.9,5.5,2,2.6
7,31,2019,1,19,5,2.5,7.4,12,5.4,5.5,8.1
7,31,2019,1,19,2,2.5,12,13.4,5,9,12.3
7,31,2019,1,19,2,4.2,28.3,39,15,24.8,33
7,31,2019,1,19,2,3,8.3,9,3.3,5,5.5
7,31,2019,1,19,2,2.8,10,17,10,7.1,10.5
7,31,2019,1,19,2,6.4,21,32,5,16,22
7,31,2019,1,19,2,5.5,14.5,20,6.5,7,10
7,31,2019,1,19,2,4,14,19,8.5,9,16.4
8,5,2019,1,20,2,6.5,28,28,11,20,24
8,5,2019,1,20,2,7,37,38,10,22.6,34
8,5,2019,1,20,2,3,47.6,93,11.8,17,89
8,5,2019,1,20,2,5,13.3,18,6,5.1,12
8,5,2019,1,20,2,1,4.5,4.7,3,2.2,3.1
8,5,2019,1,20,2,2,6,6.5,5,3.5,3.8
8,5,2019,1,20,6,4.6,23.2,28,11.2,20,24.5
8,5,2019,1,20,6,1.8,7.3,9.5,5.5,4.9,7
8,5,2019,1,20,6,1.5,0,0,9,3.9,6.8
8,5,2019,1,20,6,3.3,18,28.2,15,13.2,24.8
8,5,2019,1,20,6,2.5,8.5,9,4,6.4,6.7
8,5,2019,1,20,6,8,29,36.5,22.5,21.2,28.8
8,5,2019,1,20,6,1.7,4.5,9.3,3,2.8,7.4
8,5,2019,1,20,6,2.8,9,10.6,5.4,5,6
8,5,2019,1,20,6,1.4,5,5,4,3.3,3.3
8,5,2019,1,20,6,4.5,12.7,14.2,10,10,11
8,5,2019,1,20,6,3.9,8.4,11,16,6,8
8,5,2019,1,20,6,3,6.5,10.5,6,4,8.1
8,5,2019,1,22,1,4.6,74.5,97,18,85.7,64.7
8,5,2019,1,22,1,6,22.4,24.8,8,17.4,21
8,5,2019,1,22,1,4.8,12.8,15,5,7.5,11
8,5,2019,1,22,1,4.2,11.7,22.3,2,10.5,14.8
8,5,2019,1,22,1,3.7,11,13.5,6,8.7,9
8,5,2019,1,22,1,3,18,30,16,11.8,18.6
8,5,2019,1,22,3,8,44.6,46,12,35.5,41.2
8,5,2019,1,22,3,5.2,19,21,13.6,10.2,15.8
8,5,2019,1,22,3,6.5,57.7,61.5,10,50.8,54
8,5,2019,1,22,3,6,18,22.6,9,11.1,12
8,5,2019,1,26,2,3.7,11,11.2,3.4,7,9.3
8,5,2019,1,26,2,4,25,25.7,7.6,13.5,16
8,5,2019,1,26,2,5.7,16.5,22,5,10.3,10.4
8,5,2019,1,26,2,5.4,15,16.5,8,10.6,12
8,5,2019,1,26,2,5,24.7,30,7.2,21,24
8,5,2019,1,26,2,1.5,3.7,4.5,3,2,3
8,5,2019,1,26,2,5.2,35,40,13.5,31,32
8,5,2019,1,26,2,3.3,8,10,3.5,5.5,7.1
8,5,2019,1,26,2,2,29,30,4.2,18,27.3
8,5,2019,1,26,2,3,6.5,12.5,12,4.5,10.6
8,5,2019,1,26,4,2.5,8.5,9.5,6.2,5.4,5.6
8,5,2019,1,26,4,1.5,7.4,8,2,5.8,6.5
8,5,2019,1,26,4,4.4,13,18,14,9,12.4
8,6,2019,1,26,4,7.5,37,52,11,32,32.9
8,6,2019,1,26,4,3.2,14.5,18,5,10.5,14.4
8,6,2019,1,26,4,1.5,6,6,2.5,3.3,4.5
8,6,2019,1,26,4,6.5,41,52,10,33.5,36
8,6,2019,1,26,4,3,6.6,6.7,9,4.3,4.3
8,6,2019,1,23,5,4.5,15,20,9,8.7,9.2
8,6,2019,1,23,5,3,12,23,3.5,8,9
8,6,2019,1,23,5,6,31,32.6,6.6,25,29
8,6,2019,1,23,5,4,10,16,9,4.1,12.2
8,6,2019,1,23,7,2,8.2,12.6,5.8,4,9.6
8,6,2019,1,23,7,2.2,9,11,2.5,5,9
8,6,2019,1,23,7,2.7,10.5,14.5,2.2,6.4,10.2
8,6,2019,1,23,7,4,9.8,16,4,5,12.5
8,6,2019,1,23,7,3.7,11,13,9.5,8,11
8,6,2019,1,23,7,1.5,5.5,6.2,2,4,4
8,6,2019,1,23,7,3,6,8,2,4.2,5.1
8,6,2019,1,23,7,2.3,7.4,8.3,1,4.3,5.5
8,6,2019,1,23,7,2.3,9,10,4,7.8,10.5
8,6,2019,1,23,7,2.5,9,13,5,7.1,11
